Time,V(out)
11.8831799999999,302.005076703401
11.8831999999999,301.952082034106
11.8832199999999,301.899078704642
11.8832399999999,301.846065418202
11.8832599999999,301.793043461774
11.8832799999999,301.740011538546
11.8832999999999,301.686970935505
11.8833199999999,301.633920355816
11.8833399999999,301.58086108647
11.8833599999999,301.527791830616
11.8833799999999,301.474713875235
11.8833999999999,301.421625923478
11.8834199999999,301.368529262305
11.8834399999999,301.315422594867
11.8834599999999,301.262307208111
11.8834799999999,301.209181805181
11.8834999999999,301.156047673012
11.8835199999999,301.10290351474
11.8835399999999,301.049750617298
11.8835599999999,300.996587683807
11.8835799999999,300.943416001195
11.8835999999999,300.890234272567
11.8836199999999,300.837043784846
11.8836399999999,300.783843241134
11.8836599999999,300.730633928339
11.8836799999999,300.677414549555
11.8836999999999,300.624186391677
11.8837199999999,300.570948157791
11.8837399999999,300.517701134795
11.8837599999999,300.464444025762
11.8837799999999,300.411178117567
11.8837999999999,300.357902113286
11.8838135858733,300.492236295366
11.8838308353339,301.016493815812
11.8838429510698,301.412881662487
11.8838565120556,301.870377423824
11.8838765120556,302.556993821054
11.8838965120556,303.246773059014
11.8839165120556,303.932086375542
11.8839365120556,304.609105380892
11.8839565120556,305.275903175527
